  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  4556; I180000038;00064;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14815.;   11704 ;A34YO14815  ;    0  ;
  4557; I180000038;00065;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO11727.;   11705 ;A34YO11727  ;    0  ;
  4558; I180000038;00066;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14342,  ACUERDO  14077;   Z11990;A34YO14342  ;    0  ;
  4559; I180000038;00067;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14848.;   11700 ;A34YO4848   ;    0  ;
  4560; I180000038;00068;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14645.;   11712 ;A34YO14645  ;    0  ;
  15924; I180000038;00088;01 ;DE IMPACTO PARA MICROCOMPUTADORA, MARCA EPSON MODELO FX-2180,  NUMERO DE SERIE: BCWYOO2492;   Z09   ;BCWYOO2492  ;    0  ;
  15925; I180000038;00089;01 ;DE IMPACTO PARA MICROCOMPUTADORA, MARCA EPSON MODELO FX-2180,  NUMERO DE SERIE: BCWYOO2375;   Z09   ;BCWYOO2375  ;    0  ;
  15926; I180000038;00090;01 ;DE IMPACTO PARA MICROCOMPUTADORA, MARCA EPSON MODELO FX-2180,  NUMERO DE SERIE: BCWYOO2462;   Z09   ;BCWYOO2462  ;    0  ;
  3967; I180000038;00158;99 ;DE PUNTO DE IMPACTO, MARCA DATA PRODUCTS, MODELO 3600P, METODO DE IMPRESION POR PUNTOS VELOCIDAD 600 CPS, NUMERO DE SERIE: 99120427.  ACUERDO 9864;   Z11990;99120427    ;    0  ;
  3968; I180000038;00159;99 ;DE PUNTO DE IMPACTO, MARCA DATA PRODUCTS, MODELO 3600P, METODO DE IMPRESION POR PUNTOS VELOCIDAD 600 CPS, NUMERO DE SERIE: 99120539.  ACUERDO 9864;   Z11990;99120539    ;    0  ;
  3969; I180000038;00160;99 ;DE PUNTO DE IMPACTO, MARCA DATA PRODUCTS, MODELO 3600P, METODO DE IMPRESION POR PUNTOS VELOCIDAD 600 CPS, NUMERO DE SERIE: 99120515.  ACUERDO 9864;   Z11990;99120515    ;    0  ;
  3970; I180000038;00161;99 ;DE PUNTO DE IMPACTO, MARCA DATA PRODUCTS, MODELO 3600P, METODO DE IMPRESION POR PUNTOS VELOCIDAD 600 CPS, NUMERO DE SERIE: 99120494.  ACUERDO 9864;   Z11990;99120494    ;    0  ;
  4795; I180000038;00241;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO11724.;   11714 ;A34YO11724  ;    0  ;
  4796; I180000038;00242;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO13523.;   11711 ;A34YO13523  ;    0  ;
  4797; I180000038;00243;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO13531.;   11703 ;A34YO13531  ;    0  ;
  4798; I180000038;00244;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14448.;   11709 ;A34YO14448  ;    0  ;
  4799; I180000038;00245;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO13522.;   11706 ;A34YO13522  ;    0  ;
  4800; I180000038;00246;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX-2180, NUMERO DE SERIE: A34YO14753.;   11850 ;A34YO14753  ;    0  ;
  4879; I180000038;00290;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX 2180, NUMERO DE SERIE: A34Y014416.;   11713 ;A34Y014416  ;    0  ;
  4880; I180000038;00291;00 ;DE PUNTO DE IMPACTO, VELOCIDAD 480 A 500 CPS MARCA EPSON, MODELO FX 2180, NUMERO DE SERIE: A34YO13987.;   11922 ;A34YO13987  ;    0  ;
  3275; I180000038;00371;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY030742.;   11710 ;: 2NGY030742;    0  ;
  3315; I180000038;00372;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGYO30838.;   11701 ;2NGYO30838  ;    0  ;
  3265; I180000038;00373;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031418.;   11701 ;2NGY031418  ;    0  ;
  3295; I180000038;00374;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031419.;   11706 ;2NGY031419  ;    0  ;
  3305; I180000038;00375;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY030851.;   11850 ;2NGY030851  ;    0  ;
  3280; I180000038;00376;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031472.;   11705 ;2NGY031472  ;    0  ;
  3285; I180000038;00377;96 ;DE 400 PCS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031428.;   11709 ;2NGY031428  ;    0  ;
  3260; I180000038;00378;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGY031466;   11707 ;2NGY031466  ;    0  ;
  3255; I180000038;00379;96 ;DE 400 CPS MARCA EPSON, MODELO FX-2170, NUMERO DE SERIE: 2NGYO31471.;   11708 ;2NGYO31471  ;    0  ;
